@relation PaleoTrain

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a83 numeric
@attribute a84 numeric
@attribute label {Line,Arc,Ellipse,Circle,Curve,Helix,Spiral,Complex,Polyline}

@data
0.179423,0.010316,0.113216,3.549942,1.391586,0.516926,-0.21655,153.587109,1.391586,0.045379,4.399029,0.040188,0.989486,0.573792,1,0.089686,26.559454,285.325858,45.755725,9.022467,0.027372,76.232615,24457.023099,0.041859,0.081947,4,1.055564,1,0.211239,0.396494,0.551623,0,0,0,0,2,2,0.5,3,0.73197,0.812703,0.80779,0.656493,0.439233,0.600069,0.487678,0.742853,0.75817,0.689806,0.950311,0,14.958583,1.499528,0.819378,0.856856,0.963506,0.825586,0.75626,0.922968,0.790851,0.957927,0.666877,0.565854,-1,0,192.002604,0.648709,147.492373,0.983102,0.18306,293.186246,-5.092895,5.452602,2.180961,0.136689,5.452602,-0.017371,1.987806,1.526991,0.768179,17748,9.784028,-0.93403,5.680808,-1.990049,Arc
0.153665,0.013686,0.100699,3.208699,1.45298,0.564867,1.793326,140.463518,1.45298,0.036639,2.677062,0.018433,0.964238,0.46101,1,0.094012,22.268803,233.743558,36.987997,7.588406,0.154811,67.877266,17927.023715,0.04218,0.085978,3,1.216587,1,0.306422,0.44701,0.852558,0,0,0,0,2,2,0.5,3,0.755692,0.777521,0.811936,0.631297,0.474453,0.627839,0.488158,0.773262,0.613139,0.601487,0.509091,0,15.806854,1.532203,0.838828,0.848865,0.966031,0.82003,0.784851,0.935653,0.794242,0.968553,0.652655,0.964789,-1,0,160.701587,1.020772,132.034087,0.022721,0.999742,240.394077,0.124355,8.656922,11.964271,0.235374,4.729931,0.000517,1.820697,1.495904,0.82161,11508,9.350798,0.014365,5.48228,-1.44658,Arc
0.156819,0.02363,0.199198,5.214989,1.394651,0.44521,2.091377,86.452299,1.394651,0.20735,8.774976,0.042254,0.916633,0.53899,1,-0.123816,14.196214,161.721329,25.834117,6.877847,0.14699,40.473906,6521.786042,0.070826,0.078464,4,0.896824,1,0.28898,0.383889,0.535166,0,0,0,0,2,2,0.5,3,0.804291,0.804291,0.78158,0.628618,0.459522,0.571339,0.459522,0.731005,0.753086,0.753086,0.491935,0,14.590443,1.403648,0.847871,0.847871,0.953514,0.808457,0.774511,0.913477,0.774511,0.958011,0.71243,0.9,1,0,102.004902,0.917492,72,0,1,170.460069,0.244979,11.524347,16.776061,0.132093,7.61863,0.001437,2.367501,1.671097,0.705848,5022,8.521584,0.021257,5.138501,-2.024246,Arc
0.159949,0.012553,0.182819,4.222876,1.507347,0.669037,0.082338,206.700266,1.507347,0.088549,7.054091,0,0.943276,0.352416,1,0.062513,30.953931,305.739131,49.808734,8.610782,0.34915,101.873963,41969.68665,0.040163,0.052904,4,0.662612,1,0.330232,0.520856,1.19706,0,0,0,0,2,2,0.5,3,0.718197,0.7548,0.842883,0.636208,0.475753,0.662427,0.5,0.785906,0.497561,0.471536,0.985577,0,17.597206,1.610725,0.837245,0.850343,0.977348,0.831082,0.796251,0.951037,0.808708,0.973079,0.620839,0.512563,0,-1,232.131428,0.479061,204.626489,0.996938,0.078191,316.864556,0.785398,10.375982,12.975317,0.306338,5.199945,0.002479,1.548502,1.365022,0.881511,22042,10.000705,0.075694,5.758474,-1.183068,Arc
0.141179,0.019441,0.189041,3.205735,1.457629,0.550435,-0.17506,149.281613,1.457629,0.109452,5.630046,0,0.944448,0.426208,1,0.073415,23.937549,256.264304,42.571249,9.803333,0.294577,72.391952,21241.28483,0.059219,0.07059,4,1.264026,0.5,0.28548,0.470383,0.801297,0,0,0,0,1,1,0,2,0.782781,0.782781,0.825895,0.646495,0.496622,0.634432,0.496622,0.768175,0.614865,0.614865,0.954839,0,15.831713,1.503767,0.854689,0.854689,0.970082,0.829118,0.798947,0.934782,0.798947,0.963611,0.664997,0.489247,-1,0,175.866427,0.570654,141.056726,0.999598,0.028357,269.910823,-6.283185,8.349241,5.075854,0.214744,7.885593,-0.023279,1.913491,1.534749,0.802067,14060,9.551089,-0.752546,5.598092,-1.538309,Arc
0.13748,0.015449,0.152325,4.528083,1.487429,0.588586,-0.300752,195.788151,1.487429,0.109452,7.084901,0.006452,0.994007,0.573792,1,0.061146,28.234017,333.733122,54.689839,11.897782,0.072444,98.566273,39490.188741,0.063387,0.060698,4,1.179728,0.75,0.262443,0.457239,0.827604,0,0,0,0,2,2,0.5,3,0.76493,0.793846,0.843147,0.669329,0.481787,0.629845,0.5,0.747017,0.622449,0.597149,0.989899,0,15.957659,1.549972,0.849466,0.861031,0.97631,0.840633,0.793242,0.933813,0.804041,0.956471,0.645173,0.523605,0,-1,231.397926,0.560432,196.499364,0.997459,0.071247,346.47358,-1.570796,9.472329,5.55437,0.224967,5.808333,-0.004534,1.76323,1.497306,0.849184,24108,10.090299,-0.16583,5.847807,-1.491804,Arc
0.137028,0.020382,0.159237,3.436131,1.486175,0.618431,0.030558,229.106962,1.486175,0.109452,5.370115,0,0.892393,0.5,1,0.046073,34.841472,370.292168,58.4876,13.608173,0.006174,115.035988,52521.413355,0.069774,0.057599,4,1.094291,1,0.317915,0.49747,0.946783,0,0,0,0,1,1,0,2,0.766198,0.777376,0.839608,0.652691,0.492811,0.64319,0.5,0.76606,0.537118,0.529304,0.991342,0,16.743103,1.592243,0.853859,0.858148,0.975657,0.837258,0.801256,0.938394,0.805281,0.961807,0.628045,0.5,0,1,260.823695,0.491085,229.008733,0.999962,-0.008733,374.241664,-5.961435,8.279064,5.932752,0.294313,8.279064,-0.015929,1.634181,1.434845,0.878021,28290,10.250264,-0.720061,5.924902,-1.223111,Arc
0.182478,0.008817,0.11737,3.523016,1.407247,0.504799,-0.144525,215.244048,1.407247,0.062327,7.068597,0.036066,0.997499,0.593584,1,0.062817,37.889924,399.771457,64.195751,12.59071,0.000646,105.942039,46366.958938,0.042007,0.064397,5,1.062236,0.8,0.257484,0.397436,0.504568,0,0,0,0,2,2,0.5,3,0.717361,0.812069,0.803646,0.652616,0.431702,0.601791,0.488696,0.748826,0.766355,0.687806,0.930435,0,14.939198,1.486445,0.811222,0.855738,0.962477,0.823628,0.748687,0.922913,0.789771,0.958893,0.672746,0.563574,-1,0,270.223981,0.656824,201.804361,0.981148,0.193256,411.93214,-5.176037,5.698301,3.1795,0.128574,5.698301,-0.012565,2.041245,1.52441,0.746804,35310,10.471921,-0.908347,6.020859,-2.051248,Arc
0.166678,0.007332,0.169172,3.323412,1.466109,0.586851,0.141897,233.345238,1.466109,0.02496,3.404095,0,0.874933,0.5,1,0.055526,37.774899,401.238934,63.426446,12.128686,0.097975,115.491253,56914.511743,0.043531,0.05993,4,1.039512,0.75,0.281376,0.446125,0.698788,0,0,0,0,2,2,0.5,3,0.710969,0.774727,0.848889,0.657657,0.458851,0.645388,0.5,0.760274,0.660944,0.593904,1,0,16.074327,1.577001,0.82735,0.853114,0.97726,0.833714,0.777714,0.940006,0.801932,0.961879,0.634115,0.562044,0,-1,279.293752,0.58403,235.46762,0.98952,0.144394,405.296875,-2.356194,5.506386,1.674132,0.201368,4.25734,-0.005814,1.721243,1.451149,0.843082,35882,10.487991,-0.427902,6.00462,-1.602623,Arc
0.16877,0.016055,0.148097,2.973529,1.421063,0.5502,0.4744,166.373075,1.421063,0.230038,14.327976,0.010211,0.993124,0.625,1,0.079743,26.464856,290.860166,47.438788,9.411864,0.105796,82.158147,27071.949387,0.048479,0.062932,4,0.822132,1,0.252669,0.427106,0.624928,0,0,0,0,2,2,0.5,3,0.731634,0.82428,0.827613,0.682184,0.438129,0.598836,0.493609,0.723571,0.720497,0.617081,0.975758,0,15.426341,1.52778,0.828725,0.86612,0.969872,0.840026,0.75973,0.916745,0.794011,0.945222,0.654545,0.571429,-1,0,198.436388,0.62435,160.031247,0.981058,0.193712,299.54481,-5.03414,5.858062,2.069414,0.161048,5.858062,-0.016806,1.87179,1.509526,0.806461,18676,9.834995,-0.859352,5.702264,-1.826053,Arc
